Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1967,Qtr 2,4,April,20,1967-04-20,Thursday,Cyprus,Cyprus,Nicosia,Bristol Britannia,Bristol Britannia,Air Globe,Commercial,130,126.0,0
2009,Qtr 2,4,April,29,2009-04-29,Wednesday,Democratic Republic Of Congo,Democratic,Massamba,Boeing,Boeing B 737,Air Congobako Of Republic,Commercial,7,7.0,0
1997,Qtr 2,4,April,14,1997-04-14,Monday,Democratic Republic Of Congo,Democratic,Brazzaville,Fokker,Fokker F 27 Friendship,Airlines Angola Congotaag Republic,Commercial,7,3.0,0
1969,Qtr 2,4,April,21,1969-04-21,Monday,East,East,Khulna,Fokker,Fokker F 27 Friendship,Airlines Pakistanindian,Commercial,44,44.0,0
1994,Qtr 2,4,April,6,1994-04-06,Wednesday,Ecuador,Ecuador,Ambato,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,TAME,Commercial,17,17.0,0
1958,Qtr 2,4,April,7,1958-04-07,Monday,Ecuador,Ecuador,Mt. Illiniza,Douglas,Douglas Dc 3Hc,Area,Commercial,32,32.0,0
1958,Qtr 2,4,April,2,1958-04-02,Wednesday,Ecuador,Ecuador,Quito,Junkers,Junkers Ju 52,Orientales Aereos Transportes,Commercial,14,3.0,0
1983,Qtr 2,4,April,29,1983-04-29,Friday,Ecuador,Ecuador,Guayaquil,Sud Aviation,Sud Aviation Se 210 Caravelle,Ecuador San,Commercial,100,8.0,0
1979,Qtr 2,4,April,23,1979-04-23,Monday,Ecuador,Ecuador,Cuenca,Vickers,Vickers Viscount 785Dhc Avp,Saeta,Commercial,57,57.0,0
1956,Qtr 2,4,April,30,1956-04-30,Monday,United Kingdom,England,London,Avro,Avro 685 York,Airlines Scottish,Commercial,54,2.0,0
1990,Qtr 2,4,April,30,1990-04-30,Monday,United Kingdom,England,Tarbert,Avro,Avro Shackleton,Force Air Royal,Military,10,10.0,0
1950,Qtr 2,4,April,13,1950-04-13,Thursday,United Kingdom,England,Hastings,Vickers,Vickers 610 Viking 1Bg,British European Airways,Commercial,32,0.0,0
2008,Qtr 2,4,April,16,2008-04-16,Wednesday,Equatorial,Equatorial,Annobon,Antonov,Antonov An,Guinea Equatorial Of Government Guineamilitary,Military,13,13.0,0
1977,Qtr 2,4,April,19,1977-04-19,Tuesday,Estonia,Estonia,Tapa Afb,Antonov,Antonov An 24,Force Air Soviet,Military,21,21.0,0
1972,Qtr 2,4,April,18,1972-04-18,Tuesday,Ethiopia,Ethiopia,Addis Ababa,BAC,Bac Super Vc 10,East African Airways,Commercial,107,43.0,0
2014,Qtr 2,4,April,20,2014-04-20,Sunday,Finland,Finland,Jamijarvi,Aerocomp Comp Air,Aerocomp Comp Air 8Oh Xdz,Urheiluilmailijat Suomen,Commercial,8,8.0,0
1983,Qtr 2,4,April,30,1983-04-30,Saturday,United States,Florida,Jacksonville,Convair,Convair Cv,Navy States United,Military,15,15.0,0
1955,Qtr 2,4,April,2,1955-04-02,Saturday,United States,Florida,Pensacola,Curtiss,Curtiss C,Airlines Aaxico,Commercial,2,2.0,0
1951,Qtr 2,4,April,25,1951-04-25,Wednesday,United States,Florida,Key,Douglas,Douglas Dc 4 Beechcraft Smb,Navy Us  Aviacion De Cubana,Military,43,43.0,0
2000,Qtr 2,4,April,5,2000-04-05,Wednesday,United States,Florida,Marianna,Learjet,Learjet,Bankair,Commercial,3,3.0,0
1922,Qtr 2,4,April,7,1922-04-07,Friday,France,France,Grandvilliers,De Havilland,De Havilland Dh 18 Farman F,Aeriens Express Grands Airways Daimler,Commercial,7,7.0,0
