Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1968,Qtr 1,1,January,10,1968-01-10,Wednesday,United States,Nevada,Copper Canyon,Douglas,Douglas C,Corps Marine U S,Military,19,19.0,0
1942,Qtr 1,1,January,16,1942-01-16,Friday,United States,Nevada,Las Vegas,Douglas,Douglas Dc,Air Western And Continental Trans,Commercial,22,22.0,0
1985,Qtr 1,1,January,21,1985-01-21,Monday,United States,Nevada,Reno,Lockheed,Lockheed L 188A,Airlines Galaxy,Commercial,71,70.0,0
2009,Qtr 1,1,January,15,2009-01-15,Thursday,United States,United States,,Airbus,Airbus A320,Airways Yorkus,Commercial,155,0.0,0
1985,Qtr 1,1,January,20,1985-01-20,Sunday,United States,New,Carson,Bell,Bell 206,Ems Taxi Mexicoair,Commercial,3,3.0,0
1961,Qtr 1,1,January,28,1961-01-28,Saturday,United States,New,Montauk Point,Boeing,Boeing 707,Airlines Yorkamerican,Commercial,6,6.0,0
1990,Qtr 1,1,January,25,1990-01-25,Thursday,United States,New,Cove Neck,Boeing,Boeing B 707,Yorkavianca,Commercial,158,73.0,0
1971,Qtr 1,1,January,9,1971-01-09,Saturday,United States,New,Edison,Boeing,Boeing B 707,Private Airlines Jerseyamerican,Private,21,2.0,0
1990,Qtr 1,1,January,29,1990-01-29,Monday,United States,New,Plattsburgh,Cessna,Cessna 208B Caravan I Super,Airways Yorkwiggins,Commercial,1,1.0,0
1952,Qtr 1,1,January,22,1952-01-22,Tuesday,United States,New,Elizabeth,Convair,Convair Cv 240,Airlines Jerseyamerican,Commercial,23,23.0,7
1933,Qtr 1,1,January,14,1933-01-14,Saturday,United States,New,Newark,Curtiss Condor,Curtiss Condor,Transport Air Jerseyeastern,Commercial,2,2.0,0
1947,Qtr 1,1,January,5,1947-01-05,Sunday,United States,New,Carmel,Douglas,Douglas Dc,Transport Air Jerseynationwide,Commercial,23,3.0,0
2005,Qtr 1,1,January,13,2005-01-13,Thursday,United States,New,Keene,Embraer,Embraer Emb 110,Hampshireairnow,Commercial,1,1.0,0
1928,Qtr 1,1,January,8,1928-01-08,Sunday,United States,New,Canajoharie,Fairchild,Fairchild Fc,Airlines Western Yorkcolonial,Commercial,3,3.0,0
1949,Qtr 1,1,January,30,1949-01-30,Sunday,United States,United States,Port,Lockheed,Lockheed L 749 Cessna 140Nc86530,Airways World American Yorkpan,Commercial,35,2.0,0
1961,Qtr 1,1,January,19,1961-01-19,Thursday,United States,United States,,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Mexico De Idlewild Aeronaves York,Commercial,106,4.0,0
1961,Qtr 1,1,January,26,1961-01-26,Thursday,Canada,Newfoundland,Trinity Bay,Douglas,Douglas C 118A,Force Air U S,Military,23,23.0,0
1956,Qtr 1,1,January,17,1956-01-17,Tuesday,Canada,Newfoundland,Oreway,Douglas,Douglas Dc 3Cf,Canada Quebecair,Commercial,18,4.0,0
1999,Qtr 1,1,January,21,1999-01-21,Thursday,Nicaragua,Nicaragua,Bluefields,Antonov,Antonov An 26,Nicaragua Aérea Fuerza,Commercial,28,28.0,0
1957,Qtr 1,1,January,23,1957-01-23,Wednesday,Nicaragua,Nicaragua,Ometepe,Douglas,Douglas Dc 3An,Lanica,Commercial,16,16.0,0
1973,Qtr 1,1,January,22,1973-01-22,Monday,Nigeria,Nigeria,Kano,Boeing,Boeing B 707,Royal Jordanian Airlines,Commercial,202,176.0,0
1996,Qtr 1,1,January,18,1996-01-18,Thursday,Nigeria,Nigeria,Kano,British Aerospace,British Aerospace Bae 125,Force Air Nigerian,Military,14,14.0,0
2000,Qtr 1,1,January,5,2000-01-05,Wednesday,Nigeria,Nigeria,Abuja,Embraer 110P1A,Embraer 110P1A Bandeirante5N Axl,Airways Express Skypower,Commercial,16,1.0,1
1997,Qtr 1,1,January,31,1997-01-31,Friday,Nigeria,Nigeria,Yola,Embraer 110P1A,Embraer 110P1A Bandeirante5N Axs,Airways Express Skypower,Commercial,16,5.0,0
2016,Qtr 1,1,January,8,2016-01-08,Friday,Norrbotten,Norrbotten,Akkajaure Lake,Canadair,Canadair CRJ,Sweden West Air Sweden,Commercial,2,2.0,0
2003,Qtr 1,1,January,8,2003-01-08,Wednesday,North,North,Charlotte,Beechcraft,Beech Be,Midwest Express Air Air Carolinaus,Commercial,21,21.0,0
1961,Qtr 1,1,January,24,1961-01-24,Tuesday,North,North,Goldsboro,Boeing,Boeing B 52G,Force Air Us Carolinamilitary,Military,8,3.0,0
1960,Qtr 1,1,January,6,1960-01-06,Wednesday,North,North,Wilmington/Bolivia,Douglas,Douglas Dc,Airlines Carolinanational,Commercial,34,34.0,0
1953,Qtr 1,1,January,5,1953-01-05,Monday,Northern,Northern,Belfast,Vickers,Vickers Viking 610 1Bg,Airways European Irelandbritish,Commercial,35,27.0,0
1949,Qtr 1,1,January,17,1949-01-17,Monday,Off,International Waters,,Avro,Avro 688 Tudor,Airways American South Bermudabritish,Commercial,20,20.0,0
1994,Qtr 1,1,January,7,1994-01-07,Friday,United States,Ohio,Columbus,British Aerospace,British Aerospace Jetstream,Express United Airlines Coast Atlantic,Commercial,8,5.0,0
1970,Qtr 1,1,January,28,1970-01-28,Wednesday,United States,Ohio,Cleveland,De Havilland,De Havilland,Airlines Tag,Commercial,9,9.0,0
1957,Qtr 1,1,January,6,1957-01-06,Sunday,United States,Oklahoma,Owasso,Convair,Convair Cv 240,Airlines American,Commercial,10,1.0,0
1955,Qtr 1,1,January,15,1955-01-15,Saturday,Canada,Ontario,London,Grumman,Grumman G 73,Canada Ontario Hydro,Commercial,5,1.0,0
1938,Qtr 1,1,January,12,1938-01-12,Wednesday,Canada,Ontario,North Pine,Stinson Reliant,Stinson Reliant Sr 9Cf,Canada General Airways,Commercial,1,1.0,0
1933,Qtr 1,1,January,24,1933-01-24,Tuesday,United States,Oregon,Eugene,Ford,Ford 5 At,Transport Air Pacific,Commercial,3,2.0,0
1929,Qtr 1,1,January,18,1929-01-18,Friday,United States,Oregon,Cove,Stearman,Stearman C,Varney Air Lines,Commercial,1,1.0,0
1998,Qtr 1,1,January,13,1998-01-13,Tuesday,Pakistan,Pakistan,Tor Kach,Antonov,Antonov An,Airlines Afghan Ariana,Military,51,51.0,0
2002,Qtr 1,1,January,9,2002-01-09,Wednesday,Pakistan,Pakistan,Shamsi Afb,Lockheed,Lockheed Hercules Kc,Force Air U S,Military,7,7.0,0
1935,Qtr 1,1,January,8,1935-01-08,Tuesday,Pakistan,Pakistan,Karachi,Wapiti,Wapiti,Force Air Indian,Commercial,2,0.0,15
1974,Qtr 1,1,January,6,1974-01-06,Sunday,United States,Pennsylvania,Johnstown,Beechcraft,Beechcraft 99,East Air,Commercial,17,12.0,0
1935,Qtr 1,1,January,26,1935-01-26,Saturday,United States,Pennsylvania,Pittsburgh,Consolidated,Consolidated,Air Western And Continental Trans,Commercial,1,1.0,0
1969,Qtr 1,1,January,6,1969-01-06,Monday,United States,Pennsylvania,Bradford,Convair,Convair Cv,Allegheny Airlines,Commercial,28,11.0,0
1951,Qtr 1,1,January,14,1951-01-14,Sunday,United States,Pennsylvania,Philadelphia,Douglas,Douglas Dc 4,National Airlines,Commercial,28,7.0,0
1971,Qtr 1,1,January,21,1971-01-21,Thursday,Peru,Peru,Pacae,Curtiss,Curtiss Wright C,Peru Del Aérea Fuerza,Commercial,35,35.0,0
1943,Qtr 1,1,January,22,1943-01-22,Friday,Peru,Peru,Chaparra,Douglas,Douglas Dc,Airlines Grace American Pan,Commercial,15,14.0,0
1970,Qtr 1,1,January,14,1970-01-14,Wednesday,Peru,Peru,Mt. Pumacona,Douglas,Douglas Dc 4Ob,Faucett,Commercial,28,28.0,0
2003,Qtr 1,1,January,9,2003-01-09,Thursday,Peru,Peru,Chachapoyas,Fokker,Fokker 28 Fellowship 1000Ob,Airlines Tans,Commercial,46,46.0,0
1976,Qtr 1,1,January,8,1976-01-08,Thursday,Philippines,Philippines,Mactan Island,Britten-Norman,Britten Norman Bn,Aerotransport Philippine,Commercial,7,7.0,0
2010,Qtr 1,1,January,28,2010-01-28,Thursday,Philippines,Philippines,Cotabato City,Gaf N22B,Gaf N22B,Force Air Philippine,Military,8,8.0,1
2008,Qtr 1,1,January,23,2008-01-23,Wednesday,Poland,Poland,Miroslawiec,CASA,Casa C,Force Air Polish,Military,20,20.0,0
1999,Qtr 1,1,January,16,1999-01-16,Saturday,Australia,Qld,Coconut,Britten-Norman,Britten Norman Bn 2A,Australia Uzu Air,Commercial,4,3.0,0
1982,Qtr 1,1,January,25,1982-01-25,Monday,Romania,Romania,Constanta,Antonov,Antonov An,Tarom,Commercial,7,7.0,0
1971,Qtr 1,1,January,31,1971-01-31,Sunday,Russia,Russia,Voroshilovgrad,Antonov,Antonov An,Aeroflot,Commercial,7,7.0,0
1968,Qtr 1,1,January,6,1968-01-06,Saturday,Russia,Russia,Olekminsk,Antonov,Antonov An,Aeroflot,Commercial,46,45.0,0
1973,Qtr 1,1,January,21,1973-01-21,Sunday,Russia,Russia,Perm,Antonov,Antonov An,Aeroflot,Commercial,39,39.0,0
1970,Qtr 1,1,January,28,1970-01-28,Wednesday,Russia,Russia,Batagai,Antonov,Antonov An,Aeroflot,Commercial,34,34.0,0
1979,Qtr 1,1,January,15,1979-01-15,Monday,Russia,Russia,Minsk,Antonov,Antonov An,Aeroflot,Commercial,13,13.0,0
1984,Qtr 1,1,January,28,1984-01-28,Saturday,Russia,Russia,Izhevsk,Antonov,Antonov An,Aeroflot,Commercial,51,4.0,0
1966,Qtr 1,1,January,1,1966-01-01,Saturday,Russia,Russia,Kamchatsky,Ilyushin,Ilyushin Il,Aeroflot,Commercial,23,23.0,0
1959,Qtr 1,1,January,18,1959-01-18,Sunday,Russia,Russia,Stalingrad,Ilyushin,Ilyushin Il,Aeroflot,Commercial,25,25.0,0
1995,Qtr 1,1,January,20,1995-01-20,Friday,Russia,Russia,Krasnoyarsk,LET,Let 410Uvpra,Airlines Abakan,Commercial,19,3.0,0
1950,Qtr 1,1,January,5,1950-01-05,Thursday,Russia,Russia,Sverdlovsk,Lisunov,Lisunov Li 2,Force Air Soviet,Military,19,19.0,0
1965,Qtr 1,1,January,2,1965-01-02,Saturday,Russia,Russia,Darwaza,Lisunov,Lisunov Li,Aeroflot,Commercial,24,24.0,0
1963,Qtr 1,1,January,14,1963-01-14,Monday,Russia,Russia,Tazovskoye,Lisunov,Lisunov Li,Aeroflot,Commercial,25,12.0,0
1946,Qtr 1,1,January,14,1946-01-14,Monday,Russia,Russia,Netrubezh,Lisunov,Lisunov Li,Aeroflot,Commercial,22,22.0,0
1984,Qtr 1,1,January,3,1984-01-03,Tuesday,Russia,Russia,Novoagansk,Mil,Mi,Aeroflot,Commercial,76,38.0,0
1976,Qtr 1,1,January,3,1976-01-03,Saturday,Russia,Russia,Moscow,Tupolev,Tupolev Tu,Aeroflot,Commercial,61,61.0,1
1970,Qtr 1,1,January,29,1970-01-29,Thursday,Russia,Russia,Murmansk,Tupolev,Tupolev Tu,Aeroflot,Commercial,11,11.0,0
1990,Qtr 1,1,January,13,1990-01-13,Saturday,Russia,Russia,Pervouralsk,Tupolev,Tupolev Tu,Aeroflot,Commercial,71,27.0,0
2011,Qtr 1,1,January,1,2011-01-01,Saturday,Russia,Russia,Surgut,Tupolev,Tupolev Tu,Kogalmavia,Commercial,124,3.0,0
1988,Qtr 1,1,January,24,1988-01-24,Sunday,Russia,Russia,Nizhnevartovsk,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,31,27.0,0
1997,Qtr 1,1,January,7,1997-01-07,Tuesday,Samoa,Samoa,Moamoa,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Airlines Polynesian,Commercial,5,3.0,0
1953,Qtr 1,1,January,26,1953-01-26,Monday,Italy,Sardinia,Sinnai,Douglas,Douglas Dc 3I,Italy Linee Aeree Italiane,Commercial,19,19.0,0
1976,Qtr 1,1,January,1,1976-01-01,Thursday,Saudi,Saudi,Al Qaysumah,Boeing,Boeing B,Airlines East Arabiamiddle,Commercial,82,82.0,0
1991,Qtr 1,1,January,31,1991-01-31,Thursday,Saudi,Saudi,Ras Al Khafji,Military,Military U.S. Air,Hercules Ac 130H Arabialockheed,Commercial,14,14.0,0
1973,Qtr 1,1,January,19,1973-01-19,Friday,United Kingdom,Scotland,Glasgow,Vickers,Vickers 802 Viscountg,British European Airways,Commercial,4,4.0,0
1994,Qtr 1,1,January,3,1994-01-03,Monday,Siberia,Siberia,Mamony,Tupolev,Tupolev Tu,Russia Baikal Air,Commercial,124,124.0,1
1988,Qtr 1,1,January,18,1988-01-18,Monday,China,Sichuan,Chungking,Ilyushin,Ilyushin Il,China China Southwest Airlines,Commercial,108,108.0,0
1951,Qtr 1,1,January,12,1951-01-12,Friday,South,South,Ixopo,De Havilland,De Havilland Dove 1Zs Ddw,Airways Africaunited,Commercial,12,12.0,0
1966,Qtr 1,1,January,25,1966-01-25,Tuesday,South,South,Binh Khe,Fairchild,Fairchild C,Force Air U S Vietnammilitary,Military,46,46.0,0
1971,Qtr 1,1,January,23,1971-01-23,Saturday,South,South,Sokcho,Fokker,Fokker F 27 Friendship,Airlines Koreakorean,Commercial,60,2.0,0
1968,Qtr 1,1,January,8,1968-01-08,Monday,South,South,Quang Tri,Sikorsky,Sikorsky Ch 53A (Helicopter)153710,Corps Marine U S Vietnammilitary,Military,42,42.0,0
1966,Qtr 1,1,January,17,1966-01-17,Monday,Spain,Spain,Palomares,Boeing,Boeing B52 Stratofortress Boeing Kc 135A580256 61,Force Air Us,Military,11,7.0,0
1928,Qtr 1,1,January,27,1928-01-27,Friday,Spain,Spain,Almeria,Breguet,Breguet 14,Aeropostale,Commercial,1,1.0,0
1928,Qtr 1,1,January,22,1928-01-22,Sunday,Spain,Spain,Tarragona,Breguet,Breguet 14,Aeropostale,Commercial,2,2.0,0
1923,Qtr 1,1,January,17,1923-01-17,Wednesday,Spain,Spain,Barcelona,Breguet,Breguet 14,Grands Express Aeriens,Commercial,1,1.0,0
1950,Qtr 1,1,January,18,1950-01-18,Wednesday,Spain,Spain,Albacete,CASA,Casa 352 T 2,Aire Del Ejercito,Commercial,16,16.0,0
2002,Qtr 1,1,January,14,2002-01-14,Monday,Spain,Spain,Bilbao,Embraer,Embraer Emb 120,Aérea Ibertrans,Commercial,3,3.0,0
1930,Qtr 1,1,January,25,1930-01-25,Saturday,Spain,Spain,Ceuta,Latecoere,Latecoere 25F,Aeropostale,Commercial,2,2.0,0
1972,Qtr 1,1,January,7,1972-01-07,Friday,Spain,Spain,Sierra De Atalayasa,Sud,Sud Aviation Caravelle Vi,Iberia Airlines,Commercial,104,104.0,0
1996,Qtr 1,1,January,22,1996-01-22,Monday,Sri,Sri,Point Pedro,Mil,Mil Mi 17 (Helicopter)Ch,Force Air Lanka Sri Lankamilitary,Military,39,39.0,0
2020,Qtr 1,1,January,2,2020-01-02,Thursday,Sudan,Sudan,Geneina,Antonov,Antonov An12 A,Force Air Sudanese,Commercial,18,18.0,0
2018,Qtr 1,1,January,29,2018-01-29,Monday,Suiyang,Suiyang,Zhengchang,Shaanxi,Shaanxi Y 8Gx,Guizhou Province County People S Liberation Army Air Force,Military,12,12.0,0
1966,Qtr 1,1,January,1,1966-01-01,Saturday,Indonesia,Sumatra,Palembang,Douglas,Douglas Dc 3 Douglas Dc,Indonesia Garuda Indonesia Airlines Garuda Indonesia Airlines,Commercial,34,34.0,0
1947,Qtr 1,1,January,25,1947-01-25,Saturday,United Kingdom,Surrey,Croydon,Douglas,Douglas C 47 Douglas Dc,England Spencer Airways Ceskoslovenske Aerolinie,Commercial,23,12.0,0
1970,Qtr 1,1,January,5,1970-01-05,Monday,Sweden,Sweden,Stockholm,Convair,Convair Cv 990,Spantax,Commercial,10,5.0,0
1977,Qtr 1,1,January,15,1977-01-15,Saturday,Sweden,Sweden,Kalvesta,Vickers,Vickers Viscount 838Se Foz,Sweden Skyline,Commercial,22,22.0,0
1971,Qtr 1,1,January,18,1971-01-18,Monday,Switzerland,Switzerland,Zurich,Ilyushin,Ilyushin Il,Balkan Bulgarian Airlines,Commercial,47,45.0,0
2000,Qtr 1,1,January,10,2000-01-10,Monday,Switzerland,Switzerland,Niederhasli,Saab,Saab 340Bhb Akk,Crossair,Commercial,10,10.0,0
2015,Qtr 1,1,January,18,2015-01-18,Sunday,Syria,Syria,Abu Adh Dhuhur Air Base,Antonov,Antonov An 26,Force Air Syrian,Commercial,37,37.0,0
1988,Qtr 1,1,January,19,1988-01-19,Tuesday,Taiwan,Taiwan,Green,Britten-Norman,Britten Norman Bn,Airlines Taiwan,Commercial,11,10.0,0
1969,Qtr 1,1,January,2,1969-01-02,Thursday,Taiwan,Taiwan,Mt. Paku,Douglas,Douglas Dc 3Db,Taiwan Airlines China,Commercial,24,24.0,0
1951,Qtr 1,1,January,28,1951-01-28,Sunday,Taiwan,Taiwan,An Tung,Shorts,Short Sunderland 9 (Flying Boat)Pp107,Force Air Royal,Military,14,14.0,0
1959,Qtr 1,1,January,8,1959-01-08,Thursday,United States,Tennessee,Mt. Holston,Douglas,Douglas Dc,Airlines Southeast,Commercial,10,10.0,0
2009,Qtr 1,1,January,1,2009-01-01,Thursday,United States,Texas,Lubock,Atr,Atr 42,Fedex From Leased Airlines Empire,Commercial,2,2.0,0
1989,Qtr 1,1,January,31,1989-01-31,Tuesday,United States,Texas,Abilene,Boeing,Boeing Kc,Force Air U S,Military,19,19.0,0
1933,Qtr 1,1,January,20,1933-01-20,Friday,United States,Texas,Bourne,Stearman,Stearman,Airways American,Commercial,1,1.0,0
1936,Qtr 1,1,January,29,1936-01-29,Wednesday,United States,Texas,Denton,Vultee,Vultee V,Airlines American,Commercial,6,1.0,0
1942,Qtr 1,1,January,26,1942-01-26,Monday,Timor,Timor,Kupang,Grumman,Grumman G 21,KNILM,Commercial,5,5.0,0
1942,Qtr 1,1,January,30,1942-01-30,Friday,Timor,Timor,Kupang,Shorts,Short S 23 (Flying Boat)G,Qantas,Commercial,18,13.0,0
1945,Qtr 1,1,January,8,1945-01-08,Monday,Trinidad,Spain,Port Of,Martin,Martin M 130 (Flying Boat)Nc14716,Airways World American Pan,Commercial,30,23.0,0
2003,Qtr 1,1,January,8,2003-01-08,Wednesday,Turkey,Turkey,Diyarbakir,British Aerospace,Bae Avro Rj,Thy Airlines Turkish,Commercial,80,75.0,0
1983,Qtr 1,1,January,16,1983-01-16,Sunday,Turkey,Turkey,Ankara,Boeing,Boeing B 727,Thy Airlines Turkish,Commercial,67,47.0,0
1988,Qtr 1,1,January,2,1988-01-02,Saturday,Turkey,Turkey,Izmir,Boeing,Boeing B 737,Flugdienst Condor,Commercial,16,16.0,0
1954,Qtr 1,1,January,5,1954-01-05,Tuesday,Turkey,Turkey,Lapseki,Douglas,Douglas Dc 3Tc,Devlet Hava Yollari,Commercial,10,4.0,0
1975,Qtr 1,1,January,30,1975-01-30,Thursday,Turkey,Turkey,Istanbul,Fokker,Fokker F 28 Fellowship,Thy Airlines Turkish,Commercial,42,42.0,0
1974,Qtr 1,1,January,26,1974-01-26,Saturday,Turkey,Turkey,Izmir,Fokker,Fokker F 28 Fellowship,Thy Airlines Turkish,Commercial,73,66.0,0
1960,Qtr 1,1,January,19,1960-01-19,Tuesday,Turkey,Turkey,Ankara,Sud Aviation Caravelle,Sud Aviation Caravelle 1Oy Krb,Sas Airlines Scandinavian,Commercial,42,42.0,0
1938,Qtr 1,1,January,11,1938-01-11,Tuesday,United States,U.S.,Pago Pago,Sikorsky,Sikorsky S 42 (Flying Boat)Nc16734,Airways World American Samoapan,Commercial,7,7.0,0
2006,Qtr 1,1,January,8,2006-01-08,Sunday,Uganda,Uganda,Bukalaza,Antonov,Antonov 129Q Cih,Air Service,Commercial,6,6.0,0
1974,Qtr 1,1,January,6,1974-01-06,Sunday,Ukraine,Ukraine,Mukachevo,Antonov,Antonov An,Aeroflot,Commercial,24,24.0,0
1928,Qtr 1,1,January,16,1928-01-16,Monday,Uruguay,Uruguay,Solis,Latecoere,Latecoere 25F,Aeropostale,Commercial,2,2.0,0
1962,Qtr 1,1,January,27,1962-01-27,Saturday,Soviet Union,Ussraeroflot,Batataevka,Antonov,Antonov An,Aeroflot,Commercial,14,13.0,0
1971,Qtr 1,1,January,22,1971-01-22,Friday,Soviet Union,Ussraeroflot,Surgut,Antonov,Antonov An 12Bcccp,Aeroflot,Commercial,14,14.0,0
1982,Qtr 1,1,January,7,1982-01-07,Thursday,Soviet Union,Ussraeroflot,Gelendzhik,LET,Let 410M Turbojetcccp,Aeroflot,Commercial,18,18.0,0
1988,Qtr 1,1,January,18,1988-01-18,Monday,Soviet Union,Ussraeroflot,Krosnovodsk,Tupolev,Tupolev Tu 154B,Aeroflot,Commercial,143,11.0,0
1993,Qtr 1,1,January,3,1993-01-03,Sunday,United States,Utah,Ogden,Bell,Bell 206,Inc Helicopters Coast South Taxi Air,Private,4,4.0,0
1963,Qtr 1,1,January,17,1963-01-17,Thursday,United States,Utah,Great Salt Lake,Fairchild,Fairchild F,West Coast Airlines,Commercial,3,3.0,0
1987,Qtr 1,1,January,15,1987-01-15,Thursday,United States,Utah,Salt Lake City,Swearingen,Swearingen Sa 226Tc Mooney M,Private Airlines Skywest,Private,10,10.0,0
1966,Qtr 1,1,January,14,1966-01-14,Friday,Uzbekistan,Uzbekistan,Shamurat,Antonov,Antonov An,Aeroflot,Commercial,11,11.0,0
1987,Qtr 1,1,January,16,1987-01-16,Friday,Uzbekistan,Uzbekistan,Tashkent,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,9,9.0,0
2004,Qtr 1,1,January,13,2004-01-13,Tuesday,Uzbekistan,Uzbekistan,Tashkent,Yakovlev,Yakovlev Yak,Airways Uzbekistan,Commercial,37,37.0,0
2013,Qtr 1,1,January,4,2013-01-04,Friday,Venezuela,Venezuela,Los Roques,Britten-Norman,Britten Norman Bn 2A,5074 Transaereo,Commercial,6,6.0,0
1990,Qtr 1,1,January,23,1990-01-23,Tuesday,Venezuela,Venezuela,Caracas,CASA,Casa 212 200,Navy Venezuelan,Military,25,25.0,0
1991,Qtr 1,1,January,10,1991-01-10,Thursday,Venezuela,Venezuela,Paramo Mucuti,CASA,Casa 212 Aviocar,Navy Venezuelan,Military,22,21.0,0
1959,Qtr 1,1,January,21,1959-01-21,Wednesday,Venezuela,Venezuela,Merida,Curtiss,Curtiss C 46D,Bolivar Expresa Linea,Commercial,4,4.0,0
2001,Qtr 1,1,January,25,2001-01-25,Thursday,Venezuela,Venezuela,Ciudad Bolivar,Douglas,Douglas Dc 3C (C47A,Airlines Rutaca,Commercial,24,24.0,0
2008,Qtr 1,1,January,4,2008-01-04,Friday,Venezuela,Venezuela,Los Roques,LET,Let 410 Uvp,Transaven,Commercial,18,18.0,0
1971,Qtr 1,1,January,25,1971-01-25,Monday,Venezuela,Venezuela,Merida,Vickers,Vickers Viscount 749Yv C,Linea Aeropostal Venezolana,Commercial,47,13.0,0
1937,Qtr 1,1,January,11,1937-01-11,Monday,Mexico,Veracruz,Playa V Icente,Lockheed,Lockheed 10E Electrax,Mexico Mexicana,Commercial,9,9.0,0
1990,Qtr 1,1,January,29,1990-01-29,Monday,United States,Vermont,Burlington,Cessna,Cessna 208B Caravan,Express Airborne,Commercial,2,2.0,0
1969,Qtr 1,1,January,16,1969-01-16,Thursday,Vietnam,Vietnam,Hue,Douglas,Douglas C 47 Skytrain (Dc,Air America,Commercial,12,12.0,0
1975,Qtr 1,1,January,3,1975-01-03,Friday,Vietnam,Vietnam,Nha Trang,Fairchild,Fairchild C,Air America,Commercial,9,9.0,0
1947,Qtr 1,1,January,12,1947-01-12,Sunday,United States,Virginia,Galax,Douglas,Douglas Dc,Lines Air Eastern,Commercial,19,18.0,0
1960,Qtr 1,1,January,18,1960-01-18,Monday,United States,Virginia,Charles City,Vickers,Vickers Viscount,Capital Airlines,Commercial,50,50.0,0
1981,Qtr 1,1,January,20,1981-01-20,Tuesday,United States,Washington,Spokane,Beechcraft,Beechcraft 99,Airways Cascade,Commercial,9,7.0,0
1931,Qtr 1,1,January,22,1931-01-22,Thursday,United States,Washington,Bluff Mountain,Boeing,Boeing,Varney Air Lines,Commercial,1,1.0,0
1953,Qtr 1,1,January,7,1953-01-07,Wednesday,United States,Washington,Issaquah,Douglas,Douglas C 54B,Flying Tiger Line,Commercial,7,7.0,0
1949,Qtr 1,1,January,2,1949-01-02,Sunday,United States,Washington,Seattle,Douglas,Douglas Dc 3 (C,Charter Air Seattle,Chartered,30,14.0,0
1951,Qtr 1,1,January,16,1951-01-16,Tuesday,United States,Washington,Reardan,Martin,Martin,Northwest Orient Airlines,Commercial,10,10.0,0
1981,Qtr 1,1,January,14,1981-01-14,Wednesday,West,West,Ramstein Afb,Lockheed,Lockheed C 130E,Force Air U S Germanymilitary,Military,11,11.0,0
1929,Qtr 1,1,January,31,1929-01-31,Thursday,West,West,Morgantown,Travel Air,Travel Air,Company Transportation Virginiaskyline,Commercial,1,1.0,0
1970,Qtr 1,1,January,13,1970-01-13,Tuesday,Western,Western,Faleolo,Douglas,Douglas Dc 35W,Airlines Samoapolynesian,Commercial,32,32.0,0
1923,Qtr 1,1,January,18,1923-01-18,Thursday,United States,Wyoming,Cheyenne,De Havilland,De Havilland Dh,US Aerial Mail Service,Commercial,1,1.0,0
1946,Qtr 1,1,January,31,1946-01-31,Thursday,United States,Wyoming,Mt. Elk,Douglas,Douglas Dc 3,Lines Air United,Commercial,21,21.0,0
1944,Qtr 1,1,January,15,1944-01-15,Saturday,Yugoslavia,Yugoslavia,Belgrad,Junkers,Junkers Ju 52 3Md,Lufthansa Deutsche,Commercial,5,5.0,0
1950,Qtr 1,1,January,26,1950-01-26,Thursday,Canada,Yukon,Snag,Douglas,Douglas C 54D,Force Air U S Territorymilitary,Military,44,44.0,0
1996,Qtr 1,1,January,8,1996-01-08,Monday,Democratic Republic Of Congo,Zaire,Kinshasa,Antonov,Antonov An,Air African,Commercial,6,2.0,225
1997,Qtr 3,7,July,18,1997-07-18,Friday,Papua New Guinea,,Goroka,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Services Air Guineagoroka New,Commercial,4,2.0,0
1995,Qtr 3,7,July,17,1995-07-17,Monday,Indonesia,,Bintuni,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Airlines Nusantara Indonesiamerpati,Commercial,18,1.0,0
2011,Qtr 3,7,July,6,2011-07-06,Wednesday,Afghanistan,Afghanistan,Bagram Air Base,Ilyushin,Ilyushin76Td4K,Airlines Way Silk,Commercial,9,9.0,0
1990,Qtr 3,7,July,27,1990-07-27,Friday,Afghanistan,Afghanistan,Maymaneh,Mil,Mil Mi 8 (Helicopter),Force Air Republican Afghan,Military,30,30.0,0
1989,Qtr 3,7,July,23,1989-07-23,Sunday,Afghanistan,Afghanistan,Jalalabad,Mil,Mil Mi 8 Mil Mi,Force Air Republican Afghan,Military,30,30.0,0
2009,Qtr 3,7,July,19,2009-07-19,Sunday,Afghanistan,Afghanistan,Kandahar Airport,Mil,Mil Mi 8,Air Vertical T,Commercial,21,16.0,0
1991,Qtr 3,7,July,10,1991-07-10,Wednesday,United States,Alabama,Birmingham,Beechcraft,Beechcraft Be 99,Airlines L Express,Commercial,15,13.0,0
1993,Qtr 3,7,July,12,1993-07-12,Monday,United States,Alabama,Talladega,"Helicopter, Hughes","Helicopter, Hughes",Private Operator,Private,2,1.0,0
2013,Qtr 3,7,July,7,2013-07-07,Sunday,Alaksa,Alaksa,Soldotna,De Havilland Canada,De Havilland Canada Dhc,Air Rediske,Commercial,10,10.0,0
